15,195,195.61033184297918,32.88128944751862,-117.2353175472838,0.0
-52.832732040357,-7.2495691158313,0.0,-1.995339145357265,11.271224361659536,7.81460452226173,0.0,195.61033184297918,0,-51.420511545848385,-7.887938591409534,-58.46530471620362,-4.70346354717668,0.0,-1.3388748701515016,9.939764379696737,0.10902273029077285
-53.21513243438186,-7.963812862814752,0.0,-1.9531825154276676,11.304054435791356,8.684306013004003,0.8101692363051846,194.800162606674,0,-51.74090292761911,-8.556721765714274,-58.73490296864938,-5.743859268943002,0.0,-0.24824536012344536,8.8893798939434,0.10923098660627589
-53.57215724246123,-8.711183854845123,0.0,-1.9124139000789968,11.360601927309826,10.027456417749466,1.6384385845926688,193.9718932583865,0,-52.046173558456914,-9.253759411222328,-58.91076032197511,-6.813001347058767,0.0,0.8477739297884781,7.861504107812406,0.10902843832741808
-53.90788543239514,-9.504315307812323,0.0,-1.8707784219924535,11.437600116968381,11.909399675326666,2.499699822082295,193.11063202089687,0,-52.32604929613191,-9.993603533263503,-59.007319193730574,-7.926975633562728,0.0,1.9417405950115936,6.935942022328955,0.10811842643677005
-54.22013037039225,-10.347868947963446,0.0,-1.8261531068036942,11.52932319913415,14.448313803029105,3.3991883684891,192.2111434744901,0,-52.56633529869858,-10.779601794360559,-59.035564670980065,-9.090771746009612,0.0,3.0225800704510766,6.128138473612333,0.10620823392744726
-54.502616701555745,-11.238402092296633,0.0,-1.7760783761339907,11.628264808069924,17.20662843259481,4.333451612146992,191.27688023083218,0,-52.7575431034091,-11.601752725923067,-59.00481547486532,-10.300976427997094,0.0,4.077858150471261,5.616423803770945,0.10321919983743515
-54.746621229260526,-12.168227067158394,0.0,-1.7218279246311767,11.727575326277979,19.529063522037074,5.294759415827534,190.31557242715164,0,-52.90510357225275,-12.44848864192451,-58.93149377387617,-11.531329036294434,0.0,4.021121643607263,5.3615885279278395,0.09999299567384141
-54.945565634625204,-13.132886981239624,0.0,-1.6677612275900071,11.82458451520783,22.436090242451954,6.2797201390348665,189.3306117039443,0,-53.02178336756594,-13.320013171304836,-58.83988999070781,-12.754086275926014,0.0,3.8130053654739076,5.011723227834187,0.09737792155582715
-55.09579954416807,-14.128296362150083,0.0,-1.6128215946969406,11.916820433442773,26.080547488538432,7.286402841370154,188.32392900160903,0,-53.120014728200736,-14.211378165015946,-58.746353105161255,-13.97479049002541,0.0,3.6208213882181033,4.596440020755039,0.0952627777155455
-55.19360118897125,-15.149167310526114,0.0,-1.5564896856092243,11.99691672681142,30.701621111541364,8.31194789399553,187.29838394898366,0,-53.20227095758646,-15.120676119538148,-58.666892591641776,-15.198861834895123,0.0,3.4422879361404433,4.137492031499201,0.09348169219067677
